Rank,Name,Price,Volume,Degree,Type,Ratio
103,Kerel Winter,3,33,7,Blonde,77.0
104,Ename blonde,2.8,33,6.5,Blonde,76.60714285714286
105,Six Wheat (VI),2.6,33,6,Blonde,76.15384615384615
106,St Hubertus triple hop citra Fût,2,25,6,Blonde,75.0
107,Quintine bio,2.6,33,5.9,Blonde,74.88461538461539
108,Peak IPA ,2.9,33,6.5,Blonde,73.96551724137932
109,Delta IPA,2.9,33,6.5,Blonde,73.96551724137932
110,Duvel 666,2.7,33,6,Blonde,73.33333333333333
111,Val Dieu blonde,2.5,33,5.5,Blonde,72.6
112,urine ,3.2,33,7,Blonde,72.1875
113,Bertinchamps légère,2.3,33,5,Blonde,71.73913043478261
114,Abbay bonne esperance,2.9,33,6.3,Blonde,71.6896551724138
115,franc belge,2.4,33,5.2,Blonde,71.5
116,Curieuse neus,3.5,33,7.5,Blonde,70.71428571428571
117,Bertinchamps ipa Fût ,2,25,5.6,Blonde,70.0
118,Ciney blonde,2.5,25,7,Blonde,70.0
119,Rulles blonde fût,2.5,25,7,Blonde,70.0
120,Super fresca,2.9,33,6,Blonde,68.27586206896552
121,Rochehaut IPA,3.4,33,7,Blonde,67.94117647058823
122,Epervier,3.4,33,7,Blonde,67.94117647058823
123,Brassin des Princes,2.7,33,5.5,Blonde,67.22222222222221
124,Grisette bio gluten free,2.1,25,5.5,Blonde,65.47619047619047
125,Rasta trolls,2.7,25,7,Blonde,64.81481481481481
126,Taras Boulba,2.3,33,4.5,Blonde,64.56521739130436
127,Curtius,4.1,37.5,7,Blonde,64.02439024390245
128,Kerel Grapefruit,2.1,33,4,Blonde,62.857142857142854
129,Kasteel extra,2.4,33,4.5,Blonde,61.875
130,Chatte (la),3.2,33,6,Blonde,61.875
131,Polarius,2.7,33,5,Blonde,61.11111111111111
132,Philomène florale,3,33,5.5,Blonde,60.5
133,Houppe Jambe en l'air,2.8,33,4.8,Blonde,56.57142857142858
134,Rulles 23 ,2.6,33,3.6,Blonde,45.692307692307686
135,Splash,2.7,33,2.9,Blonde,35.44444444444444
136,Amaliris,2.6,33,2,Blonde,25.384615384615383
137,Lupulus placebo 0.0%,2.1,33,0.4,Blonde,6.285714285714286
138,Trottinette,2.7,33,0.4,Blonde,4.888888888888889
139,Pico Bello,2.7,33,0.3,Blonde,3.6666666666666665
140,Bière des amis 0%,3.7,33,0,Blonde,0.0
