Rank,Name,Price,Volume,Degree,Type,Ratio
103,Westmalle triple,7.2,75,9.5,Trappiste,98.95833333333333
104,Val Dieu grand cru,8,75,10.5,Brune,98.4375
105,Duvel triple hop cashmere,3.2,33,9.5,Blonde,97.96875
106,Belle-fleur,3.2,33,9.5,Blonde,97.96875
107,Station 16 saison,2.7,33,8,Blonde,97.77777777777777
108,Silly Scotch,2.7,33,8,Brune,97.77777777777777
109,Corne du bois des pendus black,2.7,33,8,Brune,97.77777777777777
110,Saint Idesbald blonde,2.2,33,6.5,Blonde,97.49999999999999
111,Li crochon brune,6.7,75,8.7,Brune,97.38805970149254
112,Chouffe,6.2,75,8,Blonde,96.77419354838709
113,Saint feuillien triple,2.9,33,8.5,Blonde,96.72413793103449
114,Peak triple ,2.9,33,8.5,Blonde,96.72413793103449
115,Carolus whisky infused,2.9,33,8.5,Blonde,96.72413793103449
116,Quintine ambrée,2.9,33,8.5,Ambrée,96.72413793103449
117,Mobius triple bio,2.9,33,8.5,Blonde,96.72413793103449
118,Chimay grande reserve (bleue),7,75,9,Trappiste,96.42857142857143
119,Val Dieu Triple,7,75,9,Blonde,96.42857142857143
120,Big nose,3.1,33,9,Blonde,95.80645161290322
121,Saint feuillien blonde,2.6,33,7.5,Blonde,95.1923076923077
122,Barbe d'or,2.6,33,7.5,Blonde,95.1923076923077
123,Rochefort 6,2.6,33,7.5,Trappiste,95.1923076923077
124,Floreffe blonde,2.2,33,6.3,Blonde,94.5
125,Gauloise blonde,5,75,6.3,Blonde,94.5
126,Leopold 7 triple de hesbaye,2.8,33,8,Blonde,94.28571428571429
127,Waterloo dark,2.8,33,8,Brune,94.28571428571429
128,Jambe de bois,2.8,33,8,Blonde,94.28571428571429
129,Waterloo triple,2.8,33,8,Blonde,94.28571428571429
130,Satan red,2.8,33,8,Ambrée,94.28571428571429
131,Quintine blonde,2.8,33,8,Blonde,94.28571428571429
132,Fruit défendu,2.8,33,8,Brune,94.28571428571429
133,Maredsous 8,2.8,33,8,Brune,94.28571428571429
134,Chimay Verte (150),3.5,33,10,Trappiste,94.28571428571429
135,xx-Bitter,2.1,33,6,Blonde,94.28571428571428
136,Houppe,6,75,7.5,Blonde,93.75
137,houppe ,6,75,7.5,Blonde,93.75
138,Fagnes blonde,6,75,7.5,Blonde,93.75
139,Divine (la),3,33,8.5,Ambrée,93.5
140,Barbe noire,3.2,33,9,Brune,92.8125
141,Val dieu fruitee,3.2,33,9,Fruitée,92.8125
142,Li crochon blonde,5.5,75,6.8,Blonde,92.72727272727273
143,Bersalis triple,3.4,33,9.5,Blonde,92.20588235294117
144,Valduc Thor,3.4,33,9.5,Brune,92.20588235294117
145,Tongerlo brune nox,2.4,33,6.7,Brune,92.125
146,Triple Moine,6,75,7.3,Blonde,91.25
147,Binchoise blonde,5.1,75,6.2,Blonde,91.1764705882353
148,Duvel,7,75,8.5,Blonde,91.07142857142857
149,Barbar Rouge,2.9,33,8,Fruitée,91.0344827586207
150,Kasteel red Fût,2.2,25,8,Fruitée,90.9090909090909
151,Tête de mort red ,3,33,8.2,Fruitée,90.19999999999999
152,St Hubertus Blanche Fût,2,25,7.2,Blanche,90.0
153,Rulles triple,7,75,8.4,Blonde,90.0
154,Goliath blonde,2.2,33,6,Blonde,89.99999999999999
155,Chouffe blanche,2.2,33,6,Blanche,89.99999999999999
156,Harmony,2.2,33,6,Blonde,89.99999999999999
157,Kwak,3.1,33,8.4,Ambrée,89.41935483870967
158,Maredsous 10,8.4,75,10,Ambrée,89.28571428571428
159,Diôle,5.5,75,6.5,Blonde,88.63636363636364
160,Saison Dupont,5.5,75,6.5,Blonde,88.63636363636364
161,Fagnes blonde,2.8,33,7.5,Blonde,88.39285714285715
162,Petrus triple d'or,2.8,33,7.5,Blonde,88.39285714285715
163,Floreffe triple,2.8,33,7.5,Blonde,88.39285714285715
164,Rochehaut blonde triple ,3,33,8,Blonde,88.0
165,Binchoise des ours,3.2,33,8.5,Blonde,87.65625
166,Cuvée des trolls Fût,2,25,7,Blonde,87.5
167,Rulles blonde,6,75,7,Blonde,87.5
168,Chimay première (rouge),6,75,7,Trappiste,87.5
169,Philomène céleste,3.4,33,9,Blonde,87.3529411764706
170,Gouyasse,2.3,33,6,Blonde,86.08695652173914
171,Vraie bière (la),2.3,33,6,Blonde,86.08695652173914
172,Vedette IPA,2.3,33,6,Blonde,86.08695652173914
173,Babylone,2.7,33,7,Blonde,85.55555555555554
174,Westmalle double,2.7,33,7,Trappiste,85.55555555555554
175,Papegaie,3.1,33,8,Brune,85.16129032258064
176,Tournay blonde,2.6,33,6.7,Blonde,85.03846153846153
177,Li crochon blonde,2,25,6.8,Blonde,85.0
178,St Hubertus Ambrée,2.8,33,7.2,Ambrée,84.85714285714286
179,St Hubertus Triple,2.8,33,7.2,Blonde,84.85714285714286
180,Rulles triple fût,2.5,25,8.4,Blonde,84.0
181,Tournay blonde,6,75,6.7,Blonde,83.75
182,Li crochon brune,2.6,25,8.7,Brune,83.65384615384615
183,Lindemans tarot noir,2.4,25,8,Fruitée,83.33333333333334
184,Duvel 666 Fût,2,25,6.66,Blonde,83.25
185,Gulden Draak,9.7,75,10.7,Brune,82.7319587628866
186,Amer Amer,2.4,33,6,Blonde,82.5
187,Tongerlo blonde lux,2.4,33,6,Blonde,82.5
188,Maredsous 6,2.4,33,6,Blonde,82.5
189,Fumette (la),2.6,33,6.5,Ambrée,82.5
190,Quatre saison (IV saison),2.6,33,6.5,Blonde,82.5
191,Rasta trolls,2.8,33,7,Blonde,82.5
192,Bon secours myrtille,2.8,33,7,Fruitée,82.5
193,Caracole,3,33,7.5,Ambrée,82.5
194,Saxo,3.1,33,7.7,Blonde,81.96774193548387
195,St Hubertus Ambrée Fût,2.2,25,7.2,Ambrée,81.81818181818181
196,Delta IPA Fût,2,25,6.5,Blonde,81.25
197,Rulles brune,6,75,6.5,Brune,81.25
198,Corne du bois des pendus 6 blonde,2.4,33,5.9,Blonde,81.12500000000001
199,Triple Galipette,3.6,33,8.8,Blonde,80.66666666666667
200,Cuvée ds trolls,7,75,7.5,Blonde,80.35714285714286
201,Gauloise ambrée,2.3,33,5.6,Ambrée,80.34782608695652
202,Lindemans tarot d'or Fût,2.5,25,8,Fruitée,80.0
203,Big mama,3.3,33,8,Brune,80.0
204,Houppe,3.1,33,7.5,Blonde,79.83870967741936
205,Binchoise des ours,8,75,8.5,Blonde,79.6875
206,Triple Bertha,2.9,33,7,Blonde,79.65517241379311
207,Delirium argentum,2.9,33,7,Ambrée,79.65517241379311
208,Kasteel rubus Fût,2.2,25,7,Fruitée,79.54545454545453
