,Rank,Degree,Price,Volume,Type,Ratio
Saint feuillien blonde,93,7.5,2.2,33.0,Blonde,112.49999999999999
Saint feuillien triple,94,8.5,2.5,33.0,Blonde,112.2
Quintine ambrée,95,8.5,2.5,33.0,Ambrée,112.2
Julius,96,8.5,2.5,33.0,Blonde,112.2
Charles Quint blonde dorée,97,8.5,2.5,33.0,Blonde,112.2
Delirium nocturnum,98,8.5,2.5,33.0,Brune,112.2
peak triple ,99,8.5,2.5,33.0,Blonde,112.2
Duvel triple hop cashmere,100,9.5,2.8,33.0,Blonde,111.96428571428572
Bertinchamps triple Fût,101,8.0,1.8,25.0,Blonde,111.11111111111111
Grimbergen blonde,102,6.7,2.0,33.0,Blonde,110.55
Barbar Rouge,103,8.0,2.4,33.0,Fruitée,110.0
Floreffe prima melior,104,8.0,2.4,33.0,Brune,110.0
Satan gold,105,8.0,2.4,33.0,Blonde,110.0
Maredsous 8,106,8.0,2.4,33.0,Brune,110.0
Quintine blonde,107,8.0,2.4,33.0,Blonde,110.0
Waterloo dark,108,8.0,2.4,33.0,Brune,110.0
Jambe de bois,109,8.0,2.4,33.0,Blonde,110.0
Chatte noire (la),110,9.0,2.7,33.0,Brune,109.99999999999999
Guillotine (la),111,9.0,2.7,33.0,Blonde,109.99999999999999
Val dieu fruitee,112,9.0,2.7,33.0,Fruitée,109.99999999999999
Whack,113,9.0,2.7,33.0,Brune,109.99999999999999
Straffe Hendrik triple,114,9.0,2.7,33.0,Blonde,109.99999999999999
Chimay Cinq Cents(gde blanc),115,8.0,5.5,75.0,Trappiste,109.0909090909091
Binchoise brune,116,7.7,5.3,75.0,Brune,108.9622641509434
Leffe blonde,117,6.6,2.0,33.0,Blonde,108.89999999999999
Nostradamus,118,9.9,3.0,33.0,Brune,108.89999999999999
Li crochon brune,119,8.7,6.0,75.0,Brune,108.75
Saison Dupont,120,6.5,4.5,75.0,Blonde,108.33333333333333
Belle-fleur,121,9.5,2.9,33.0,Blonde,108.10344827586208
Valduc Thor,122,9.5,2.9,33.0,Brune,108.10344827586208
Divine (la),123,8.5,2.6,33.0,Ambrée,107.88461538461539
Floreffe triple,124,7.5,2.3,33.0,Blonde,107.60869565217392
Val Dieu Triple,125,9.0,6.3,75.0,Blonde,107.14285714285714
Kwak,126,8.4,2.6,33.0,Ambrée,106.61538461538461
Corne du bois des pendus black,127,8.0,2.5,33.0,Brune,105.6
Charles Quint ommegang,128,8.0,2.5,33.0,Blonde,105.6
Chimay première (rouge),129,7.0,5.0,75.0,Trappiste,105.0
Triple moine,130,7.3,2.3,33.0,Blonde,104.73913043478262
Harmony,131,6.0,1.9,33.0,Blonde,104.21052631578948
Gauloise blonde,132,6.3,2.0,33.0,Blonde,103.95
Floreffe blonde,133,6.3,2.0,33.0,Blonde,103.95
Carolus whisky infused,134,8.5,2.7,33.0,Blonde,103.88888888888889
Binchoise des ours,135,8.5,2.7,33.0,Blonde,103.88888888888889
