,Degree,Price,Volume,Type,Ratio
Lupulus blonde Fût,8.5,1.8,25.0,Blonde,118.05555555555556
Paix Dieu,10.0,2.8,33.0,Blonde,117.85714285714286
Rochefort 6,7.5,2.1,33.0,Trappiste,117.85714285714285
Duvel triple hop,9.5,2.67,33.0,Blonde,117.41573033707866
Judas,8.5,2.4,33.0,Blonde,116.875
Frambush,8.5,2.4,33.0,Fruitée,116.875
Triple Moine,7.3,4.7,75.0,Blonde,116.48936170212765
Bersalis triple,9.5,2.7,33.0,Blonde,116.1111111111111
Lupulus blonde,8.5,5.5,75.0,Blonde,115.9090909090909
Lupulus Organicus,8.5,5.5,75.0,Blonde,115.9090909090909
Cuvée des trolls,7.0,2.0,33.0,Blonde,115.5
Westmalle double,7.0,2.0,33.0,Trappiste,115.5
Saxo,7.7,2.2,33.0,Blonde,115.49999999999999
Satan red,8.0,2.3,33.0,Ambrée,114.78260869565219
Mc Chouffe,8.0,2.3,33.0,Brune,114.78260869565219
Waterloo triple,8.0,2.3,33.0,Blonde,114.78260869565219
Esprit triple,8.0,2.3,33.0,Blonde,114.78260869565219
Bon secours heritage,8.0,2.3,33.0,Ambrée,114.78260869565219
Bon secours tradition,8.0,2.3,33.0,Blonde,114.78260869565219
Tripick blonde,8.0,2.3,33.0,Blonde,114.78260869565219
Barbar,8.0,2.3,33.0,Blonde,114.78260869565219
Bertinchamps triple ,8.0,3.5,50.0,Blonde,114.28571428571429
Big nose,9.0,2.6,33.0,Blonde,114.23076923076923
Hopus,8.3,2.4,33.0,Blonde,114.12500000000001
Maredsous 10,10.0,6.6,75.0,Ambrée,113.63636363636364
Troubadour obscura,8.2,2.4,33.0,Brune,112.74999999999999
Val Dieu grand cru,10.5,7.0,75.0,Brune,112.5
Chimay grande reserve (bleue),9.0,6.0,75.0,Trappiste,112.5
Jupiler Fût,5.4,1.2,25.0,Blonde,112.5
Barbe d'or,7.5,2.2,33.0,Blonde,112.49999999999999
Saint feuillien blonde,7.5,2.2,33.0,Blonde,112.49999999999999
Petrus triple d'or,7.5,2.2,33.0,Blonde,112.49999999999999
Quintine ambrée,8.5,2.5,33.0,Ambrée,112.2
Delirium nocturnum,8.5,2.5,33.0,Brune,112.2
Saint feuillien triple,8.5,2.5,33.0,Blonde,112.2
Charles Quint blonde dorée,8.5,2.5,33.0,Blonde,112.2
Julius,8.5,2.5,33.0,Blonde,112.2
peak triple ,8.5,2.5,33.0,Blonde,112.2
Duvel triple hop cashmere,9.5,2.8,33.0,Blonde,111.96428571428572
Westmalle triple,9.5,6.4,75.0,Trappiste,111.328125
Bertinchamps triple Fût,8.0,1.8,25.0,Blonde,111.11111111111111
Grimbergen blonde,6.7,2.0,33.0,Blonde,110.55
Jambe de bois,8.0,2.4,33.0,Blonde,110.0
Maredsous 8,8.0,2.4,33.0,Brune,110.0
Barbar Rouge,8.0,2.4,33.0,Fruitée,110.0
Waterloo dark,8.0,2.4,33.0,Brune,110.0
Floreffe prima melior,8.0,2.4,33.0,Brune,110.0
Satan gold,8.0,2.4,33.0,Blonde,110.0
Quintine blonde,8.0,2.4,33.0,Blonde,110.0
Val dieu fruitee,9.0,2.7,33.0,Fruitée,109.99999999999999
Chatte noire (la),9.0,2.7,33.0,Brune,109.99999999999999
Whack,9.0,2.7,33.0,Brune,109.99999999999999
Guillotine (la),9.0,2.7,33.0,Blonde,109.99999999999999
Straffe Hendrik triple,9.0,2.7,33.0,Blonde,109.99999999999999
Chouffe,8.0,5.5,75.0,Blonde,109.0909090909091
Chimay Cinq Cents(gde blanc),8.0,5.5,75.0,Trappiste,109.0909090909091
Binchoise brune,7.7,5.3,75.0,Brune,108.9622641509434
Nostradamus,9.9,3.0,33.0,Brune,108.89999999999999
Leffe blonde,6.6,2.0,33.0,Blonde,108.89999999999999
Li crochon brune,8.7,2.0,25.0,Brune,108.74999999999999
Valduc Thor,9.5,2.9,33.0,Brune,108.10344827586208
Belle-fleur,9.5,2.9,33.0,Blonde,108.10344827586208
Divine (la),8.5,2.6,33.0,Ambrée,107.88461538461539
Floreffe triple,7.5,2.3,33.0,Blonde,107.60869565217392
Saison Dupont,6.5,2.0,33.0,Blonde,107.25
Val Dieu Triple,9.0,6.3,75.0,Blonde,107.14285714285714
Kwak,8.4,2.6,33.0,Ambrée,106.61538461538461
Charles Quint ommegang,8.0,2.5,33.0,Blonde,105.6
Corne du bois des pendus black,8.0,2.5,33.0,Brune,105.6
Chimay première (rouge),7.0,5.0,75.0,Trappiste,105.0
Gauloise blonde,6.3,4.5,75.0,Blonde,105.0
Triple moine,7.3,2.3,33.0,Blonde,104.73913043478262
Harmony,6.0,1.9,33.0,Blonde,104.21052631578948
Floreffe blonde,6.3,2.0,33.0,Blonde,103.95
Mobius triple bio,8.5,2.7,33.0,Blonde,103.88888888888889
Carolus whisky infused,8.5,2.7,33.0,Blonde,103.88888888888889
Binchoise des ours,8.5,2.7,33.0,Blonde,103.88888888888889
Queue de charrue triple,6.6,2.1,33.0,Blonde,103.71428571428571
Caracole,7.5,2.4,33.0,Ambrée,103.125
Fagnes blonde,7.5,2.4,33.0,Blonde,103.125
Philomène céleste,9.0,2.9,33.0,Blonde,102.41379310344828
Grimbergen triple,9.0,2.9,33.0,Blonde,102.41379310344828
Binchoise blonde,6.2,2.0,33.0,Blonde,102.3
Grimbergen double,6.5,2.1,33.0,Brune,102.14285714285714
Li crochon blonde,6.8,5.0,75.0,Blonde,102.0
Big mama,8.0,2.6,33.0,Brune,101.53846153846153
Brusseleir,8.0,2.6,33.0,Brune,101.53846153846153
Rochehaut blonde triple ,8.0,2.6,33.0,Blonde,101.53846153846153
Papegaie,8.0,2.6,33.0,Brune,101.53846153846153
Leopold 7 triple de hesbaye,8.0,2.6,33.0,Blonde,101.53846153846153
Tête de mort Fût,8.1,2.0,25.0,Blonde,101.25
Tongerlo brune nox,6.7,2.2,33.0,Brune,100.49999999999999
urine ,7.0,2.3,33.0,Blonde,100.43478260869566
Gulden Draak,10.7,8.0,75.0,Brune,100.3125
Tête de mort red ,8.2,2.7,33.0,Fruitée,100.2222222222222
Delirium Tremens Fût,8.0,2.0,25.0,Blonde,100.0
Pêche Mel Bush Fût,8.0,2.0,25.0,Fruitée,100.0
Chouffe cherry Fût,8.0,2.0,25.0,Fruitée,100.0
Delirium red Fût,8.0,2.0,25.0,Fruitée,100.0
Paranoia Fût,8.0,2.0,25.0,Blonde,100.0
Bertinchamps brune,7.0,3.5,50.0,Brune,100.0
Forgeronne,6.0,2.0,33.0,Ambrée,99.0
Betchard blonde,6.0,2.0,33.0,Blonde,99.0
St Hubertus Triple,7.2,2.4,33.0,Blonde,99.0
Vraie bière (la),6.0,2.0,33.0,Blonde,99.0
Chimay bleue,9.0,3.0,33.0,Trappiste,99.0
Sweet alma,8.0,2.7,33.0,Blonde,97.77777777777777
Fruit défendu,8.0,2.7,33.0,Brune,97.77777777777777
Station 16 saison,8.0,2.7,33.0,Blonde,97.77777777777777
Sans grade,6.5,2.2,33.0,Blonde,97.49999999999999
Saint Idesbald blonde,6.5,2.2,33.0,Blonde,97.49999999999999
Bon secours myrtille,7.0,2.4,33.0,Fruitée,96.25
Tournay blonde,6.7,2.3,33.0,Blonde,96.1304347826087
St Hubertus Ambrée,7.2,2.5,33.0,Ambrée,95.03999999999999
Rulles triple,8.4,6.65,75.0,Blonde,94.73684210526315
Chimay 150,10.0,3.5,33.0,Trappiste,94.28571428571429
xx-Bitter,6.0,2.1,33.0,Blonde,94.28571428571428
Bertinchamps blonde,6.2,3.3,50.0,Blonde,93.93939393939394
houppe ,7.5,6.0,75.0,Blonde,93.75
Triple Galipette,8.8,3.1,33.0,Blonde,93.67741935483872
Corne du bois des pendus 6 blonde,5.9,2.1,33.0,Blonde,92.71428571428572
Triple Bertha,7.0,2.5,33.0,Blonde,92.4
Babylone,7.0,2.5,33.0,Blonde,92.4
Gauloise ambrée,5.6,2.0,33.0,Ambrée,92.39999999999999
Cuvée ds trolls,7.5,6.1,75.0,Blonde,92.21311475409837
Cuvée des trolls Fût,7.0,1.9,25.0,Blonde,92.10526315789474
Philomène hoptimale,7.2,2.6,33.0,Ambrée,91.38461538461537
Kasteel red Fût,8.0,2.2,25.0,Fruitée,90.9090909090909
Lindemans tarot d'or,8.0,2.2,25.0,Fruitée,90.9090909090909
Lindemans tarot noir,8.0,2.2,25.0,Fruitée,90.9090909090909
Val Dieu blonde,5.5,2.0,33.0,Blonde,90.75
St Hubertus Blanche Fût,7.2,2.0,25.0,Blanche,90.0
Lupulus hopéra,6.0,2.2,33.0,Blonde,89.99999999999999
Tongerlo blonde lux,6.0,2.2,33.0,Blonde,89.99999999999999
Wander,6.0,2.2,33.0,Blonde,89.99999999999999
Maredsous 6,6.0,2.2,33.0,Blonde,89.99999999999999
Chouffe blanche,6.0,2.2,33.0,Blanche,89.99999999999999
Duvel 666,6.0,2.2,33.0,Blonde,89.99999999999999
Vedette IPA,6.0,2.2,33.0,Blonde,89.99999999999999
Queue de charrue brune,5.4,2.0,33.0,Brune,89.10000000000001
Kasteel rubus,7.0,2.6,33.0,Fruitée,88.84615384615384
Fagnes blood orange,7.0,2.6,33.0,Fruitée,88.84615384615384
Delirium argentum,7.0,2.6,33.0,Ambrée,88.84615384615384
Rulles brune,6.5,5.5,75.0,Brune,88.63636363636364
Diôle,6.5,5.5,75.0,Blonde,88.63636363636364
Houppe,7.5,2.8,33.0,Blonde,88.39285714285715
Rulles blonde,7.0,6.0,75.0,Blonde,87.5
Ciney brune,7.0,2.0,25.0,Brune,87.5
Fresh hops,5.5,2.1,33.0,Blonde,86.42857142857143
Atrium Avalanche ,6.8,2.6,33.0,Fruitée,86.3076923076923
Brugse zot blonde,6.0,2.3,33.0,Blonde,86.08695652173914
Zinnebir,6.0,2.3,33.0,Blonde,86.08695652173914
Gouyasse,6.0,2.3,33.0,Blonde,86.08695652173914
Abbaye bonne esperance,6.3,5.5,75.0,Blonde,85.9090909090909
Blonde du pays noir,7.0,2.7,33.0,Blonde,85.55555555555554
Delta IPA,6.5,2.54,33.0,Blonde,84.44881889763779
Noire du midi,6.9,2.7,33.0,Brune,84.33333333333333
Triple Karmeliet,8.4,7.5,75.0,Blonde,84.0
Queue de charrue ambrée,5.6,2.2,33.0,Ambrée,83.99999999999999
St Hubertus triple hop citra Fût,6.0,1.8,25.0,Blonde,83.33333333333333
Duvel 666 Fût,6.66,2.0,25.0,Blonde,83.25
Abbay bonne esperance,6.3,2.5,33.0,Blonde,83.16
Epervier,7.0,2.8,33.0,Blonde,82.5
Fumette (la),6.5,2.6,33.0,Ambrée,82.5
Blanche de Bruxelles,4.5,1.8,33.0,Blanche,82.5
Saint Monon au miel,6.5,2.6,33.0,Ambrée,82.5
Leffe ruby,5.0,2.0,33.0,Fruitée,82.5
Curieuse neus,7.5,3.0,33.0,Blonde,82.5
Bertinchamps légère,5.0,2.0,33.0,Blonde,82.5
Rasta trolls,7.0,2.8,33.0,Blonde,82.5
Quatre saison (IV saison),6.5,2.6,33.0,Blonde,82.5
Amer Amer,6.0,2.4,33.0,Blonde,82.5
Peak blanche IPA ,6.5,2.6,33.0,Blanche,82.5
St Hubertus Ambrée Fût,7.2,2.2,25.0,Ambrée,81.81818181818181
Quintine bio,5.9,2.4,33.0,Blonde,81.12500000000001
Delirium red,8.0,7.5,75.0,Fruitée,80.0
Lindemans tarot d'or Fût,8.0,2.5,25.0,Fruitée,80.0
Marteau,8.0,3.3,33.0,Blonde,80.0
Kasteel rubus Fût,7.0,2.2,25.0,Fruitée,79.54545454545453
Gembloux fruitée dans les bois,6.5,2.7,33.0,Fruitée,79.44444444444444
Sarazen bio,6.5,2.7,33.0,Blonde,79.44444444444444
Ename blonde,6.5,2.7,33.0,Blonde,79.44444444444444
100 PAP,6.0,2.5,33.0,Ambrée,79.2
Charlesroy Bancloque,6.0,2.5,33.0,Ambrée,79.2
